Samples4Survey FeSe_0706
889.08 623317.89
888.08 612896.41
887.08 609497.22
886.08 603187.3
885.08 597108.42
884.08 588535.05
883.08 590201.12
882.08 591188.53
881.08 590359.37
880.08 591031.44
879.08 598157.6
878.08 589735.04
877.08 590566.85
876.08 591477.46
875.08 597519.96
874.08 591828.2
873.08 590676.59
872.08 592278.98
871.08 594635.71
870.08 597486.68
869.08 600131.29
868.08 596612.19
867.08 598795.74
866.08 604927.05
865.08 605735.66
864.08 604622.34
863.08 609361.68
862.08 610822.54
861.08 614530.84
860.08 619909.5
859.08 616378.84
858.08 626577.73
857.08 632271.85
856.08 631454.22
855.08 640309.21
854.08 641610.89
853.08 637915.58
852.08 633453.9
851.08 643446.22
850.08 638593.53
849.08 646661.41
848.08 649446.91
847.08 658839.96
846.08 655098.13
845.08 649527.38
844.08 649040.97
843.08 645859.97
842.08 647083.83
841.08 647126.62
840.08 647053.27
839.08 641693.69
838.08 641189.76
837.08 635992.62
836.08 634651.75
835.08 629860.53
834.08 608392.64
833.08 596902.38
832.08 582945.91
831.08 578849.26
830.08 578054.21
829.08 572156.74
828.08 570768.45
827.08 577204.55
826.08 565209.57
825.08 574285.39
824.08 574016.76
823.08 567440.88
822.08 565820.01
821.08 566373.65
820.08 572121.36
819.08 572124.53
818.08 570759.12
817.08 569333.42
816.08 568474.33
815.08 574979.18
814.08 567763.31
813.08 577920.77
812.08 574714.21
811.08 576792.76
810.08 574705.36
809.08 584617.64
808.08 593114.76
807.08 582539.17
806.08 585491.53
805.08 584984.93
804.08 587213.85
803.08 592611.83
802.08 590391.75
801.08 588941.66
800.08 587618.04
799.08 591219.8
798.08 594541.91
797.08 589629.53
796.08 599012.6
795.08 606924.55
794.08 606848.75
793.08 611532.97
792.08 613596.64
791.08 622422.77
790.08 627153.69
789.08 626169.52
788.08 633810.81
787.08 645523.26
786.08 649031.16
785.08 645250.28
784.08 643958.23
783.08 643823.65
782.08 642479.97
781.08 638603.71
780.08 633237.28
779.08 616621.82
778.08 613162.59
777.08 607986.13
776.08 607924.45
775.08 608905.44
774.08 612209.67
773.08 612815.23
772.08 606523.29
771.08 618597.8
770.08 617662.52
769.08 611773.28
768.08 616671.39
767.08 611148.58
766.08 608834
765.08 611978.38
764.08 609056.92
763.08 610211.03
762.08 614350.31
761.08 609574.79
760.08 616678.22
759.08 620600.18
758.08 622322.86
757.08 623196.2
756.08 624997.25
755.08 628046.93
754.08 622670.36
753.08 627676.51
752.08 630336.52
751.08 632912.37
750.08 630002.57
749.08 637980.82
748.08 634129.51
747.08 645533.92
746.08 646143.46
745.08 653239.16
744.08 654705.24
743.08 661572.3
742.08 662034.98
741.08 660863.14
740.08 658753.43
739.08 663919.99
738.08 662432.9
737.08 667012.13
736.08 667313.2
735.08 680431.92
734.08 685932.62
733.08 695652.61
732.08 695773.89
731.08 699853.79
730.08 704026.57
729.08 710085.69
728.08 721495.51
727.08 731805.02
726.08 756223.46
725.08 766882.63
724.08 755906.97
723.08 746106.15
722.08 716570.8
721.08 702786.8
720.08 703050.11
719.08 697139.11
718.08 706374.96
717.08 690972.28
716.08 687121.33
715.08 688334.05
714.08 708188.33
713.08 738855.02
712.08 769243.82
711.08 794691.48
710.08 765534.09
709.08 683991.59
708.08 627570.81
707.08 601869.78
706.08 588637.8
705.08 562023.05
704.08 563945.7
703.08 565331.36
702.08 562085.68
701.08 560590.04
700.08 564423.74
699.08 567305.04
698.08 566135.3
697.08 571602.37
696.08 571126.37
695.08 569972.08
694.08 568609.31
693.08 568856.72
692.08 568327.27
691.08 568601.06
690.08 571936.32
689.08 567275.22
688.08 567450.27
687.08 571284.72
686.08 571621.41
685.08 571425.68
684.08 581233.55
683.08 573999.68
682.08 576771.03
681.08 578301.27
680.08 581950.55
679.08 580446.86
678.08 585207.08
677.08 581972.74
676.08 582102.46
675.08 581496.75
674.08 585559.5
673.08 585986.38
672.08 586152.64
671.08 584951.8
670.08 593519.66
669.08 591108.06
668.08 592162.71
667.08 593631.72
666.08 594032.12
665.08 593598
664.08 589793.48
663.08 591013.42
662.08 595757.58
661.08 597333.21
660.08 599128.17
659.08 602986.42
658.08 600300.08
657.08 605449.85
656.08 602661.27
655.08 598347.17
654.08 602224
653.08 601604.63
652.08 614854.17
651.08 605952.01
650.08 603680.19
649.08 610121.01
648.08 614264.55
647.08 613746.2
646.08 610633.2
645.08 610866.5
644.08 607871.53
643.08 621961.85
642.08 623043.17
641.08 620153.36
640.08 618029.21
639.08 622186.33
638.08 628254.58
637.08 625318.42
636.08 626168.06
635.08 624592.32
634.08 629898.52
633.08 630859.54
632.08 626232.74
631.08 628809.85
630.08 624955.95
629.08 631271.45
628.08 632757.4
627.08 635977.47
626.08 639510.62
625.08 632776.19
624.08 636484.12
623.08 643600.48
622.08 644023.43
621.08 639336.84
620.08 630951.02
619.08 637187.97
618.08 650556.33
617.08 645706.46
616.08 647382.53
615.08 645737.45
614.08 653922.26
613.08 646986.15
612.08 648989.96
611.08 649823.08
610.08 655205.88
609.08 652679.41
608.08 654461.59
607.08 649156.23
606.08 650371.36
605.08 658354.52
604.08 653821.84
603.08 664455.37
602.08 660334.15
601.08 656330.54
600.08 662258.61
599.08 664555.59
598.08 668259.54
597.08 664867.79
596.08 668350.48
595.08 666224.11
594.08 673621.81
593.08 675410.21
592.08 673482.69
591.08 678190.36
590.08 672614.75
589.08 680548.68
588.08 678134.2
587.08 678315.15
586.08 674456.82
585.08 675362.37
584.08 684105.43
583.08 682704.61
582.08 685876.82
581.08 688623.19
580.08 693665.65
579.08 699389.98
578.08 698115.57
577.08 700319.66
576.08 701426.42
575.08 689470.61
574.08 688771.08
573.08 685954.08
572.08 688431.92
571.08 682770.68
570.08 688524.17
569.08 689825.61
568.08 695767.26
567.08 712600.37
566.08 737047.98
565.08 749601.09
564.08 754417.35
563.08 736311.68
562.08 715533.55
561.08 707524.3
560.08 697729.72
559.08 694279.43
558.08 687388.04
557.08 685152.32
556.08 685832.61
555.08 675000.7
554.08 671097.48
553.08 671493.38
552.08 668252.26
551.08 668026.12
550.08 684715.96
549.08 683980.82
548.08 676289.07
547.08 664305.81
546.08 659846.3
545.08 656470.26
544.08 666176.28
543.08 669116.58
542.08 664342.09
541.08 655315.79
540.08 632055.98
539.08 614033.34
538.08 613246.43
537.08 622638.42
536.08 625811.3
535.08 630862.91
534.08 640541.91
533.08 710872.48
532.08 859850.52
531.08 1096428.58
530.08 1437293.9
529.08 1518188.79
528.08 946088.89
527.08 614490.05
526.08 558901.01
525.08 554237.93
524.08 547064.81
523.08 542728.4
522.08 537071.81
521.08 541587.19
520.08 539372.03
519.08 544386.27
518.08 538507.74
517.08 536965.02
516.08 548779.2
515.08 536331.59
514.08 546421.4
513.08 543442.94
512.08 548913.03
511.08 552094.43
510.08 548526.79
509.08 546385.38
508.08 551980.07
507.08 555136.27
