Samples4Survey SrIr_0224
237.08 121036.5
236.08 128424.0
235.08 134776.0
234.08 127847.0
233.08 133453.5
232.08 139021.0
231.08 125245.5
230.08 118634.0
229.08 111919.5
228.08 110270.5
227.08 118569.5
226.08 115182.5
225.08 112618.0
224.08 113177.5
223.08 113436.5
222.08 114239.0
221.08 114422.0
220.08 116529.0
219.08 114069.0
218.08 117303.5
217.08 117473.0
216.08 116734.5
215.08 115082.5
214.08 117967.5
213.08 117617.5
212.08 117721.5
211.08 120226.5
210.08 115488.5
209.08 120865.5
208.08 115809.0
207.08 120697.0
206.08 125055.0
205.08 124267.0
204.08 126929.0
203.08 124627.5
202.08 125296.5
201.08 123293.0
200.08 128771.5
199.08 123083.5
198.08 123005.0
197.08 123899.0
196.08 122293.5
195.08 120562.0
194.08 122442.0
193.08 122006.0
192.08 122963.5
191.08 126848.0
190.08 126422.5
189.08 128093.0
188.08 130502.5
187.08 128904.0
186.08 129807.5
185.08 132844.5
184.08 130144.0
183.08 126986.5
182.08 128607.5
181.08 128147.0
180.08 131011.5
179.08 128628.0
178.08 133588.5
177.08 133652.0
176.08 137188.5
175.08 135330.0
174.08 140202.0
173.08 138734.0
172.08 142909.5
171.08 139911.5
170.08 146077.5
169.08 144042.0
168.08 142369.5
167.08 144855.0
166.08 144633.5
165.08 147908.5
164.08 147286.0
163.08 144678.5
162.08 139011.0
161.08 140355.0
160.08 137614.0
159.08 137337.5
158.08 134267.0
157.08 132422.5
156.08 131235.5
155.08 137629.5
154.08 131161.0
153.08 134990.0
152.08 139306.0
151.08 140485.0
150.08 139382.5
149.08 134749.5
148.08 137886.0
147.08 143033.5
146.08 139496.0
145.08 139827.5
144.08 142426.5
143.08 138600.5
142.08 133498.0
141.08 134729.0
140.08 136260.5
139.08 135297.0
138.08 142743.5
137.08 154486.0
136.08 187548.5
135.08 272598.5
134.08 400093.0
133.08 430015.5
132.08 408776.5
131.08 257726.5
130.08 150186.0
129.08 122898.5
128.08 118525.5
127.08 114690.5
126.08 118406.5
125.08 116872.0
124.08 115958.5
123.08 115227.5
122.08 116016.5
121.08 116108.5
120.08 122218.0
119.08 118929.5
118.08 121103.5
117.08 122266.0
116.08 118316.0
115.08 118436.0
114.08 115524.5
113.08 120617.0
112.08 126566.5
111.08 122067.0
110.08 128485.5
109.08 130901.0
108.08 131649.5
107.08 128834.0
106.08 135342.0
105.08 134878.5
104.08 137078.5
103.08 135526.5
102.08 137246.0
101.08 144073.0
100.08 143815.5
99.08 145441.5
98.08 148532.0
97.08 154284.5
96.08 150913.0
95.08 143992.0
94.08 141983.5
93.08 144835.0
92.08 136462.0
91.08 131520.5
90.08 123944.5
89.08 129508.5
88.08 124621.0
87.08 123006.5
86.08 124706.0
85.08 122850.0
84.08 120866.5
83.08 122584.0
82.08 121423.0
81.08 123291.0
80.08 127947.5
79.08 126978.0
78.08 126292.0
77.08 127296.5
76.08 124476.5
75.08 125212.0
74.08 122083.0
73.08 123019.0
72.08 127535.5
71.08 125231.0
70.08 144748.0
69.08 165377.0
68.08 226476.5
67.08 314994.5
66.08 401460.5
65.08 433085.5
64.08 400463.5
63.08 413632.5
62.08 357570.0
61.08 189659.5
60.08 81262.0
59.08 53739.5
58.08 45212.7
57.08 43257.5
56.08 42155.1
55.08 42888.5
54.08 41856.6
53.08 43285.6
52.08 48141.4
51.08 56567.5
50.08 65280.0
49.08 61191.5
48.08 47342.1
47.08 38658.3
46.08 31223.8
45.08 27961.3
44.08 28627.2
43.08 29463.4
42.08 27493.9
41.08 27870.3
40.08 26585.8
39.08 31031.3
38.08 34886.8
37.08 41698.9
36.08 36647.1
35.08 27047.0
34.08 23626.7
33.08 20853.6
32.08 20723.2
31.08 20197.2
