Samples4Survey LaCo_0211
309.08 120192.46
308.08 125892.04
307.08 125148.45
306.08 120849.02
305.08 127302.79
304.08 132471.55
303.08 128398.51
302.08 125199.38
301.08 126536.65
300.08 127290
299.08 125296.03
298.08 125588.01
297.08 120166.16
296.08 129522.55
295.08 125219.66
294.08 129674.82
293.08 127682.37
292.08 130944.9
291.08 127550.51
290.08 133879.1
289.08 142373.29
288.08 139738.8
287.08 141314.91
286.08 160551.08
285.08 170306.42
284.08 162605.2
283.08 133333.17
282.08 129226.42
281.08 134004.87
280.08 136275.05
279.08 139028.64
278.08 139861.96
277.08 145852.53
276.08 151966.55
275.08 155184.54
274.08 154313.88
273.08 155753.35
272.08 144887.13
271.08 140801.98
270.08 137982.33
269.08 136144.49
268.08 131786.49
267.08 131859.13
266.08 130708.48
265.08 130158.48
264.08 131089.31
263.08 131715.91
262.08 127658.61
261.08 132887.75
260.08 128803.43
259.08 128536.68
258.08 130417.42
257.08 127968.86
256.08 130179.5
255.08 129477.55
254.08 130125.35
253.08 125580.96
252.08 122692.49
251.08 134700.22
250.08 135040.72
249.08 132142.38
248.08 135254.69
247.08 137980.01
246.08 136817.76
245.08 134105.34
244.08 135434.94
243.08 134413.72
242.08 128668.2
241.08 135939.67
240.08 130862.68
239.08 137998.84
238.08 142305.82
237.08 147264.03
236.08 165011.08
235.08 174229.93
234.08 162159.69
233.08 168807.32
232.08 178288.86
231.08 157450.24
230.08 143459.48
229.08 142060.24
228.08 138456.19
227.08 134120.58
226.08 133057.55
225.08 131196.62
224.08 125693.61
223.08 125963.02
222.08 124812.83
221.08 124424.32
220.08 122484.54
219.08 115590.54
218.08 117964.95
217.08 117441.39
216.08 119829.57
215.08 128252.97
214.08 132474.11
213.08 133205.41
212.08 131013.69
211.08 129634.01
210.08 134590.61
209.08 136503.08
208.08 134370.4
207.08 128653.84
206.08 124163.26
205.08 120400.04
204.08 121840.85
203.08 127427.7
202.08 119277.53
201.08 126734.3
200.08 136893.29
199.08 148025.78
198.08 158259.89
197.08 166123.84
196.08 189074.87
195.08 200277.83
194.08 179435.31
193.08 133001.57
192.08 105742.68
191.08 98514.44
190.08 98506.79
189.08 92327.14
188.08 93329.09
187.08 92886.18
186.08 97595.24
185.08 98073.55
184.08 91324.57
183.08 92653.9
182.08 91838.91
181.08 93898.23
180.08 95877.53
179.08 97682.88
178.08 96724.92
177.08 97226.57
176.08 94486.62
175.08 98512.91
174.08 94399.69
173.08 95969.01
172.08 97554.28
171.08 102206.62
170.08 101179.68
169.08 97491.05
168.08 98751.2
167.08 94780.06
166.08 101457.12
165.08 97782.68
164.08 98899.01
163.08 100596.16
162.08 100634.09
161.08 104361.54
160.08 97336.27
159.08 96932.98
158.08 98601.62
157.08 96577.28
156.08 101765.98
155.08 101883.04
154.08 99782.74
153.08 104363.68
152.08 104047.96
151.08 106918.69
150.08 104304.19
149.08 103497.05
148.08 104028.14
147.08 106942.8
146.08 104861.95
145.08 107579.65
144.08 106738.6
143.08 108357.49
142.08 110883.58
141.08 113131.49
140.08 112818.16
139.08 115157.56
138.08 117588.9
137.08 124094.06
136.08 130528.48
135.08 125030.61
134.08 127733.18
133.08 125120.94
132.08 117439.39
131.08 114423.95
130.08 112081.97
129.08 112684.24
128.08 107896.51
127.08 99829.89
126.08 98565.4
125.08 93690.15
124.08 95229.93
123.08 96601.2
122.08 97514.78
121.08 94474.01
120.08 98336.63
119.08 96847.56
118.08 106457.58
117.08 106424.03
116.08 109558.7
115.08 108839.73
114.08 107265.83
113.08 105201.41
112.08 102341.37
111.08 107060.46
110.08 116078.68
109.08 139152.35
108.08 164894.9
107.08 210655.41
106.08 274960.95
105.08 350799.26
104.08 362117.77
103.08 326264.45
102.08 331614.3
101.08 303345.88
100.08 172044.75
99.08 78232.71
98.08 51480.62
97.08 43963.57
96.08 41575.43
95.08 39066.61
94.08 37630.65
93.08 37357.74
92.08 38186.7
91.08 37272.05
90.08 35786.59
89.08 35592.51
88.08 36529.35
87.08 37263.98
86.08 34452.25
85.08 33756.66
84.08 37425.82
83.08 34795.22
82.08 35948.24
81.08 33715.72
80.08 33509.44
79.08 34371.67
78.08 35463.17
77.08 36038.89
76.08 34601.37
75.08 35787.43
74.08 37888.25
73.08 38932.99
72.08 40312.37
71.08 42655.7
70.08 37381.37
69.08 39491.83
68.08 39754.43
67.08 41030.79
66.08 40471.75
65.08 40280.73
64.08 45597.19
63.08 54090.88
62.08 63671.97
61.08 70160.08
60.08 59905.47
59.08 41057.14
58.08 29131.07
57.08 22815.88
56.08 22688.38
55.08 22133.16
54.08 22410.16
53.08 21696.28
52.08 22825.96
51.08 22344.2
50.08 23595.46
49.08 22502.45
48.08 22684.36
47.08 22840.91
46.08 24471.36
45.08 23387.91
44.08 23781.09
43.08 22857.05
42.08 23702.21
41.08 25749.62
40.08 23982.49
39.08 23354.22
38.08 23893.67
37.08 26824.48
36.08 27039.33
35.08 32536.24
34.08 34575.68
33.08 26831.74
32.08 20690.08
31.08 16588.22
30.08 16839.71
29.08 18501.1
28.08 17011.38
27.08 16484.34
26.08 17420.9
25.08 17246.24
24.08 18906.35
23.08 21628.26
22.08 31676.46
21.08 31684.98
20.08 34505.01
19.08 42235.63
18.08 47473.2
17.08 49135.41
16.08 45308.01
15.08 28385.8
