Samples4Survey FeSe
658.08 589978.42
657.08 596043.77
656.08 591959.23
655.08 591034.9
654.08 598934.52
653.08 592783.05
652.08 590649.64
651.08 602656.59
650.08 607809.39
649.08 599778.52
648.08 602415.46
647.08 599815.32
646.08 603531.44
645.08 606773.34
644.08 602716
643.08 604863.86
642.08 601664.52
641.08 608707.89
640.08 611745.81
639.08 607362.57
638.08 612749.59
637.08 610722.16
636.08 609466.54
635.08 614931.15
634.08 619463.72
633.08 618454.92
632.08 618585.79
631.08 619295.6
630.08 625223.12
629.08 618177.99
628.08 626391.1
627.08 629331.07
626.08 624824.76
625.08 627635.94
624.08 626296.03
623.08 622690.12
622.08 626026.85
621.08 632248.42
620.08 633869.54
619.08 632742.25
618.08 634408.56
617.08 636321.21
616.08 636974.21
615.08 636465.91
614.08 636018.48
613.08 633796.46
612.08 642927.79
611.08 643982.23
610.08 638743.85
609.08 643177.61
608.08 645586.55
607.08 644935.42
606.08 648608.66
605.08 651159.64
604.08 650152.09
603.08 654832.61
602.08 648166.11
601.08 650351.12
600.08 650994.21
599.08 648610.94
598.08 659914.24
597.08 660531.5
596.08 661085.43
595.08 662757.96
594.08 664689.18
593.08 663176.54
592.08 670920.07
591.08 656647.71
590.08 669061.63
589.08 670358.74
588.08 670136.1
587.08 667628.6
586.08 664299
585.08 668283.78
584.08 670247.94
583.08 679762.7
582.08 681990.32
581.08 679899.74
580.08 684567.21
579.08 696088.05
578.08 686917.94
577.08 698009.2
576.08 693886.49
575.08 681497.02
574.08 678240.78
573.08 679784.23
572.08 680108.88
571.08 678152.7
570.08 679997.21
569.08 687009.7
568.08 696618.35
567.08 705853.06
566.08 722687.18
565.08 737872.4
564.08 738589.82
563.08 728341.65
562.08 710569.78
561.08 701988.27
560.08 702394.96
559.08 691770.35
558.08 679020.68
557.08 673985.23
556.08 677263.73
555.08 673623.06
554.08 676444.93
553.08 671506.39
552.08 660278.63
551.08 664445.75
550.08 675453.78
549.08 681022.4
548.08 672410.14
547.08 666530.05
546.08 654414.32
